"PUBLISHER_ID"	"PUBLISHER_NAME"	"PUBLISHER_SUMMARY"
"101340"	"মাকতাবাতুল কুদুস, মিসর"	
"101341"	"দারুস সালাম, রিয়াদ"	
"101342"	"দারুল বানান, বৈরুত"	
"101343"	"মাকতাবাতুস সুন্নাহ , মিসর"	
"101344"	"দারুল ফিকর, সিরিয়া"	
"101345"	"দারে গরাস, কুয়েত"	
"101346"	"দারে আম্মান, জর্ডান"	
"101347"	"ইস্টার্ন একাডেমিক"	
"101348"	"দারুস সালাম, কায়রো"	
"101349"	"মাকতাবাতুত তাওফীকিয়া, মিসর"	
"101350"	"মাকতবাতা ইবনে তাইমিয়া, মিসর"	
"101351"	"মাকতাবাতুল মাআরিফ, বৈরুত"	
"101352"	"মাকতাবাতুল ব্রেল"	
"101353"	"দারুল কুতুবিল ইলামিয়াহ, বৈরুত"	
"101354"	"দারুল ইউসর, জেদ্দা"	
"101355"	"দারুল মাআরেফ, বৈরুত"	
"101356"	"দারুল ইলমিয়া, কায়রো"	
"101357"	"দারল ফাতাহ লিল আলামিল আরাবী, জর্ডান"	
"101358"	"দারুল কুতুব আল ইলমিয়াহ, মিসর"	
"101359"	"দারুত তাওফিকীয়া ,কায়রো"	
"101360"	"দারল ফযিলাত, মিসর"	
"101361"	"মাকতাবাতুস হারাস লিত তুরাস, মিসর"	
"101362"	"প্রকৌশলী ম. আ. হামিদ"	
"101363"	"জমিন"	
"101364"	"শরিকাহ আল কুদুস, কায়রো"	
"101365"	"দারুত তাওফিকিয়া লিত তুরাস, মিসর"	
"101366"	"দারুত তালায়ে, কায়রো"	
"101367"	"দারুল ইলম লিল মালাইন, বৈরুত"	
"101368"	"দারুল মাশরিক, বৈরুত"	
"101369"	"দারুল মাআরিফ, কায়রো"	
"101370"	"দারু সাদির, বৈরুত"	
"101371"	"দারুল ফিকরিল আরাবী, মিসর"	
"101372"	"দারুল অসিলা, রিয়াদ"	
"101373"	"দারে ইবনে কাছীর, বৈরুত"	
"101374"	"দারুল ওয়ায়ী, হালাব"	
"101375"	"মুয়াসসাসাতুর রিসালা, সিরিয়া"	
"101376"	"দারুল আদাবিল ইসলামি, মিসর"	
"101377"	"দারুল বাশাইর আল ইলমিয়াহ, বৈরুত"	
"101378"	"মুয়াসসাতুল হুদা, সিরিয়া"	
"101379"	"মেপল"	
"101380"	"এবং মানুষ প্রকাশনী"	
"101381"	"কিশোর কলম"	
"101382"	"দি ড্যাফোডিল পাবলিকেশন্স"	
"101383"	"ভূত প্রকাশন"	
"101384"	"জলতরঙ্গ প্রকাশনী"	
"101385"	"শিশুকিশোর প্রকাশন"	
"101386"	"ডাকঘর"	
"101387"	"বাংলাদেশি প্রবাস লেখক ফোরাম"	
"101388"	"কালাঞ্জলি প্রকাশন"	
"101389"	"কালো"	
"101390"	"ধ্রুব প্রকাশন"	
"101391"	"আবরার পাবলিকেশন্স"	
"101392"	"বর্ণমালা"	
"101393"	"গার্ডিয়ান পাবলিকেশন"	
"101394"	"ইন্তামিন প্রকাশন"	
"101395"	"নবারুণ প্রকাশনী (ভারত)"	
"101396"	"কালান্তর"	
"101397"	"সঞ্জয় প্রকাশন (ভারত)"	
"101398"	"নির্ণায়ক"	
"101399"	"প্রগতী পাবলিকেশন (ভারত)"	
"101400"	"ওহী-ওলী প্রকাশনী"	
"101401"	"বইপোকা"	
"101402"	"আর-রিহাব পাবলিকেশন্স"	
"101403"	"আল-হামরা পাবলিকেশন্স"	
"101404"	"বর্ণবৈভব প্রকাশনা"	
"101405"	"সিয়াম প্রকাশনী"	
"101406"	"পিকে ইন্টারন্যাশনাল"	
"101407"	"শিশুদের জন্য ফাউন্ডেশন"	
"101408"	"জর্নাল পাবলিশার্স"	
"101409"	"মধুপোক"	
"101410"	"ছায়েরা পাবলিকেশন্স"	
"101411"	"আলিফ বুকস"	
"101412"	"চিরন্তন প্রকাশ"	
"101413"	"আশ্রম"	
"101414"	"কমার্স পাবলিকেশন্স"	
"101415"	"মনদুয়ার"	
"101416"	"গণ সংস্কৃতি কেন্দ্র"	
"101417"	"দারুন নাজাত পাবলিকেশন্স"	
"101418"	"ত্রিনয়ন প্রকাশন"	
"101419"	"অন্নপূর্ণা প্রকাশনী (কলকাতা)"	
"101420"	"অরুণা প্রকাশন (কলকাতা)"	
"101421"	"অমরাবতী"	
"101422"	"টেস্ট ফর এডিট"	
"101423"	"পাতা প্রকাশ (রংপুর)"	
"101424"	"সহযাত্রী (কলকাতা)"	
"101425"	"হরিহর গ্রন্থাগার (কলকাতা)"	
"101426"	"বুকস্‌ ফেয়ার পাবলিকেশন্স"	
"101427"	"সহজ পাঠ (কলকাতা)"	
"101428"	"গ্রন্থমিত্র (কলকাতা)"	
"101429"	"আশাদীপ (ভারত)"	
"101430"	"সুপ্রিম পাবলিশার্স (ভারত)"	
"101431"	"সুত্রধর (ভারত)"	
"101432"	"সন্ধ্যা প্রকাশন (ভারত)"	
"101433"	"সঞ্জীব প্রকাশন (ভারত)"	
"101434"	"ইন্ডিয়ান পাবলিশিং হাউস (ভারভ)"	
"101435"	"সোপান পাবলিশার্স (ভারত)"	
"101436"	"সোনারতরী পাবলিকেশন (ভারত)"	
"101437"	"সেরিবান (ভারত)"	
"101438"	"সেতু প্রকাশনী (ভারত)"	
"101439"	"গ্রন্থতীর্থ (ভারত)"	
"101440"	"গ্রন্থ বিকাশ (ভারত)"	
"101441"	"গীতাঞ্জলি (ভারত)"	
"101442"	"গার্গী প্রকাশনী (ভারত)"	
"101443"	"কলাভৃত পাবলিশার্স (ভারত)"	
"101444"	"কলকাতা প্রকাশন (ভারত)"	
"101445"	"দাঁড়িকমা"	
"101446"	"কমলিনী প্রকাশন (ভারত)"	
"101447"	"কবিতীর্থ (কলকাতা)"	
"101448"	"শিশুস্বর্গ"	
"101449"	"কবিতিকা (ভারত)"	
"101450"	"কৃতি (ভারত)"	
"101451"	"কিশোর জ্ঞান বিজ্ঞান (ভারত)"	
"101452"	"কিশোর প্রকাশন (ভারত)"	
"101453"	"কারিগর (ভারত)"	
"101454"	"কানন প্রকাশনী (ভারত)"	
"101455"	"এশিয়ান পাবলিকেশন (ভারত)"	
"101456"	"এভেনেল প্রেস (ভারত)"	
"101457"	"এবং মুশায়েবা (ভারত)"	
"101458"	"এন. ই. পাবলিশার্স (ভারত)"	
"101459"	"এডুকেশন ফোরাম (ভারত)"	
"101460"	"উবুদশ (ভারত)"	
"101461"	"ইন্ডিয়ান অ্যাসোসিয়েটেড পাবলিশিং (ভারত)"	
"101462"	"দেহঘড়ি"	
"101463"	"অক্ষর প্রকাশন (ভারত)"	
"101464"	"মাইক্রোটেক"	
"101465"	"অক্ষর প্রকাশনী (ভারত)"	
"101466"	"দি ইনডিপেনডেন্ট স্টাডি ফোরাম, ঢাকা"	
"101467"	"অজন্তা পাবলিশার্স (ভারত)"	
"101468"	"অঞ্জলি প্রকাশনী (ভারত)"	
"101469"	"অ্যাকাডেমিক পাবলিশার্স (ভারত)"	
"101470"	"অণিমা প্রকাশনী (ভারত)"	
"101471"	"অধ্যয়ন পাবলিকেশন (ভারত)"	
"101472"	"অপর্ণা প্রকাশনী (ভারত)"	
"101473"	"অফবিট পাবলিশিং (ভারত)"	
"101474"	"লাটাই"	
"101475"	"অর্পিতা প্রকাশনী (ভারত)"	
"101476"	"অশোক পুস্তকালয় (ভারত)"	
"101477"	"আদি মল্লিক ব্রাদার্স (ভারত)"	
"101478"	"আদি নাথ ব্রাদার্স (ভারত)"	
"101479"	"আদম (ভারত)"	
"101480"	"আধুনিক পুস্তক প্রকাশন (ভারত)"	
"101481"	"ভাষা ও সাহিত্য"	
"101482"	"আশাবরী পাবলিকেশন (ভারত)"	
"101483"	"ইউনাইটেড বুক এজেন্সি (ভারত)"	
"101484"	"ইউনিভার্সাল লেজার গ্রাফিক্স (ভারত)"	
"101485"	"ছোট কবিতা"	
"101486"	"ইসক্রা (ভারত)"	
"101487"	"ঊর্বী প্রকাশন (ভারত)"	
"101488"	"ঋতাক্ষর প্রকাশন (ভারত)"	
"101489"	"এডুকেশন সেন্টার (ভারত)"	
"101490"	"কালিন্দী ব্রাত্যজন (ভারত)"	
"101491"	"কোডেক্স (ভারত)"	
"101492"	"সাগ্নিক বুকস (ভারত)"	
"101493"	"সাগর বুকস্ (ভারত)"	
"101494"	"অদম্য প্রকাশ"	
"101495"	"আহবান প্রকাশনী"	
"101496"	"মাকতাবায়ে ত্বহা"	
"101497"	"সৌরভ পাবলিকেশন্স"	
"101498"	"আক্ষরিক প্রকাশনা"	
"101499"	"প্রভাতী লাইব্রেরি"	
"101500"	"রাঢ়বঙ্গ প্রকাশনী"	
"101501"	"একাডেমিক অব কুরআন স্টাডিজ"	
"101502"	"সত্য প্রকাশ"	
"101503"	"ইনস্টিটিউট অফ ফ্যামিলি ডেভেলপমেন্ট, কানাডা"	
"101504"	"হিরণ্য পাবলিকেশন্স"	
"101505"	"যশোর ইনফো ফাউন্ডেশন"	
"101506"	"ইনার ফোর্স"	
"101507"	"তামান্না বুক কর্ণার"	
"101508"	"সাহিত্য অকাদেমি"	
"101509"	"রাদ্ধ প্রকাশ"	
"101510"	"সাহিত্য তীর্থ"	
"101511"	"সাহিত্য বিহার"	
"101512"	"সাহিত্যায়ন(ভারত)"	
"101513"	"অন্বয় প্রকাশ"	
"101514"	"কথামালা প্রকাশনী"	
"101515"	"সাহিত্যম"	
"101516"	"সাহিত্যলোক"	
"101517"	"এফআইভিডিবি"	
"101518"	"সাহিত্যশ্রী"	
"101519"	"সায়নী প্রকাশন"	
"101520"	"আওয়াজ পাবলিকেশন্স"	
"101521"	"সোমিলা প্রেস অ্যাণ্ড পাবলিকেশন"	
"101522"	"সুজন পাবলিকেশন"	
"101523"	"সত্যনারায়ণ প্রকাশনী"	
"101524"	"অরিয়ল (ভারত)"	
"101525"	"অলকানন্দা পাবলিশার্স (ভারত)"	
"101526"	"অর্পণা বুক ডিস্ট্রিবিটার্স (ভারত)"	
"101527"	"অশোক প্রকাশন (ভারত)"	
"101528"	"ইন্দিরা প্রকাশনী (ভারত)"	
"101529"	"এ পি পি (ভারত)"	
"101530"	"এ.মুখার্জী অ্যাণ্ড কোং"	
"101531"	"একটি গন্ধর্ব প্রকাশন (ভারত)"	
"101532"	"এস. এস. পাবলিকেশন (ভারত)"	
"101533"	"কারুকথা (ভারত)"	
"101534"	"কালিকলম (ভারত)"	
"101535"	"কিশলয় প্রকাশন (ভারত)"	
"101536"	"কোয়ার্ক পাবলিশার্স (ভারত)"	
"101537"	"মেঘদূত (ভারত)"	
"101538"	"চায়না পাবলিকেশন (ভারত)"	
"101539"	"ছায়া পাবলিকেশন (ভারত)"	
"101540"	"ছোটদের কচিপাতা (ভারত)"	
"101541"	"আল হাবীব ফাউন্ডেশন"	
"101542"	"রিভারসাইড প্রেস বাংলাদেশ"	
"101543"	"যোগমায়া প্রকাশনী (ভারত)"	
"101544"	"স্যার ওয়ান পাবলিকেশন (র‌্যাডিকেল)"	
"101545"	"নিয়োগ পাবলিকেশন্স"	
"101546"	"ছোঁয়া (ভারত)"	
"101547"	"সাইবার পাবলিকেশন"	
"101548"	"যমযম পাবলিকেশন্স"	
"101549"	"গ্লোবাল এন্টারপ্রাইজ"	
"101550"	"জ্ঞানপীঠ পাবলিকেশন্স (ভারত)"	
"101551"	"জয়া প্রকাশনী (ভারত)"	
"101552"	"টিচার্স বুক এজেন্সী (ভারত)"	
"101553"	"বলপয়েন্ট প্রকাশনা"	
"101554"	"নবভারতী প্রকাশনী (ভারত)"	
"101555"	"নান্দনিক (ভারত)"	
"101556"	"পাণ্ডুলিপি (ভারত)"	
"101557"	"পাতাবাহার (ভারত)"	
"101558"	"নায়েক এন্টারপ্রাইজ (ভারত)"	
"101559"	"নিউ এজ পাবলিশার্স (ভারত)"	
"101560"	"পাল পাবলিশার্স (ভারত)"	
"101561"	"নব চন্দনা প্রকাশনী (ভারত)"	
"101562"	"নবজাতক প্রকাশন (ভারত)"	
"101563"	"নবপত্র প্রকাশন (ভারত)"	
"101564"	"যুথিকা বুক স্টল (ভারত)"	
"101565"	"দি সী বুক এজেন্সি (ভারতী)"	
"101566"	"দেবী বুক স্টল (ভারত)"	
"101567"	"তালপাতা (ভারত)"	
"101568"	"দেশ প্রকাশন (ভারত)"	
"101569"	"দীপায়ন (ভারত)"	
"101570"	"ত্রিনাথ পাবলিকেশন্স (ভারত)"	
"101571"	"ত্রিপুরা বাণী প্রকাশনী (ভারত)"	
"101572"	"নাট্যচিন্তা ফাউন্ডেশন (ভারত)"	
"101573"	"তুহিনা প্রকাশনী (ভারত)"	
"101574"	"নাট্যসৃজনী (ভারত)"	
"101575"	"আল হাদী প্রকাশনী"	
"101576"	"মুক্তধ্বনি"	
"101577"	"নব গণগ্রন্থ"	
"101578"	"রংধনু প্রকাশনী"	
"101579"	"প্রগতিশীল প্রকাশক (ভারত)"	
"101580"	"প্রাচী পাবলিকেশন (ভারত)"	
"101581"	"প্রিটোনিয়া পাবলিশার্স (ভারত)"	
"101582"	"পশ্চিমবঙ্গ রাজ্য পুস্তক পর্ষৎ (ভারত)"	
"101583"	"পুস্তক বিপণি (ভারত)"	
"101584"	"প্রিয়া বুক হাউস (ভারত)"	
"101585"	"প্রেসিডেন্সী লাইব্রেরী (ভারত)"	
"101586"	"প্রজ্ঞা বিকাশ (ভারত)"	
"101587"	"বুক ওয়ার্ল্ড (ভারত)"	
"101588"	"তারীফ-নাজিম"	
"101589"	"সৃজন প্রকাশ"	
"101590"	"বুকস ওয়ে (ভারত)"	
"101591"	"বাউলমন প্রকাশন (ভারত)"	
"101592"	"বঙ্গীয় সাহিত্য সংসদ (ভারত)"	
"101593"	"মিতা ট্রেডার্স"	
"101594"	"খামার বাড়ি পাবলিকেশন্স"	
"101595"	"ভারতী বুক স্টল (ভারত)"	
"101596"	"প্রভা প্রকাশনী (ভারত)"	
"101597"	"প্রমা প্রকাশনী (ভারত)"	
"101598"	"পরশপাথর প্রকাশন (ভারত)"	
"101599"	"প্রয়াগ প্রকাশনী (ভারত)"	
"101600"	"দারুল আরকাম"	
"101601"	"ডাইরেকটেক"	
"101602"	"আপডেট পাবলিকেশন"	
"101603"	"মাকতাবাতুল ইলিয়াস"	
"101604"	"পরশমণি প্রকাশন"	
"101605"	"সাজুফতা সাহিত্য ক্লাব"	
"101606"	"শব্দগ্রন্থ"	
"101607"	"নন্দিত"	
"101608"	"বাংলাদেশ ইনস্টিটিউট অব ইসলামিক থ্যট (বি.আই.আই.টি)"	
"101609"	"পরিপূরক প্রকাশন"	
"101610"	"শিশুকন্ঠ"	
"101611"	"মোঃ রুমেন আহমেদ"	
"101612"	"বইপোকা প্রকাশনা"	
"101613"	"বাংলা গবেষণা"	
"101614"	"কারুবাক"	
"101615"	"দ্য সুলতান"	
"101616"	"আল হুদা ইসলামিক ফাউন্ডেশন"	
"101617"	"মাকতাবাতুল হুদা আল ইসলামিয়া"	
"101618"	"জাদীদ প্রকাশন"	
"101619"	"কথা সম্ভার"	
"101620"	"মুন্তাখাব প্রকাশনী"	
"101621"	"তরুপল্লব"	
"101622"	"মাদরাসাতুল মাদীনাহ"	
"101623"	"রংধনু প্রোডাকশন"	
"101624"	"টেরাকোটা ক্রিয়েটিভ্‌স"	
"101625"	"শব্দসিঁড়ি"	
"101626"	"অল্পকথা"	
"101627"	"ওয়াহীদিয়া ইসলামিয়া লাইব্রেরী"	
"101628"	"জগন্নাথ বিশ্ববিদ্যালয়"	
"101629"	"আতেশিন রুখশা"	
"101630"	"ফেস্টুন"	
"101631"	"জেব্রাক্রসিং প্রকাশন"	
"101632"	"মাদানী  মাকতাব প্রশিক্ষণকেন্দ্র"	
"101633"	"শব্দমালা প্রকাশন"	
"101634"	"আরাফাত প্রকাশনী"	
"101635"	"ভূমিপ্রকাশ"	
"101636"	"আঞ্জুম প্রকাশনী"	
"101637"	"সৃজন প্রকাশনা"	
"101638"	"মেঘনা পাবলিকেশন্স"	
"101639"	"সাতভাই চম্পা প্রকাশনী"	
"101640"	"বাংলা প্রকাশন"	
"101641"	"প্রিয় বাংলা"	
"101642"	"দারুল ইশাআত"	
"101643"	"সমর্পণ"	
"101644"	"সমকালীন প্রকাশন"	
"101645"	"মুসলিম ভিলেজ"	
"101646"	"মর্নিং ব্রীজ"	
"101647"	"বইবাজার প্রকাশনী"	
"101648"	"প্রগতি প্রকাশন"	
"101649"	"স্টুডেন্টস পাবলিকেশন্স"	
"101650"	"গণহত্যা-নির্যাতন ও মুক্তিযুদ্ধ বিষয়ক গবেষণা কেন্দ্র"	
"101651"	"প্রতিচ্ছবি প্রকাশনী"	
"101652"	"এমদাদিয়া কোরআন মহল"	
"101653"	"শিশুর ভুবন"	
"101654"	"রৌদ্রছায়া প্রকাশ"	
"101655"	"অধ্যয়ন"	
"101656"	"চিরদিন"	
"101657"	"দুন্দুভি"	
"101658"	"স্বরে অ"	
"101659"	"শুদ্ধি প্রকাশনী"	
"101660"	"শিশু গ্রন্থ কুটির"	
"101661"	"বাংলানামা"	
"101662"	"চিলড্রেন বুক কালেকশন"	
"101663"	"জ্ঞানবিতান প্রকাশনী"	
"101664"	"টঙ্কার প্রকাশনী"	
"101665"	"কৌরব প্রকাশনী"	
"101666"	"সেগ"	
"101667"	"গ্রন্থরাজ্য"	
"101668"	"ভিন্নমাত্রা প্রকাশনী"	
"101669"	"প্রেসিডেন্সী পাবলিকেশন্স"	
"101670"	"চন্দ্রবিন্দু প্রকাশনা সংস্থা"	
"101671"	"বলাকা প্রকাশন (চট্টগ্রাম)"	
"101672"	"ডাঃ টি রহমান কার্ডিয়াক কেয়ার ফাউন্ডেশন"	
"101673"	"শতাব্দী প্রকাশনী (বগুড়া)"	
"101674"	"নন্দনপ্রকাশ"	
"101675"	"আইল্যান্ড সিকিউরিটিজ লিমিটেড"	
"101676"	"অলিভ বুকস"	
"101677"	"সপ্তবর্ণ"	
"101678"	"আবুবকর গিয়াসুদ্দীন"	
"101679"	"হৃদি প্রকাশ"	
"101680"	"উড়কি"	
"101681"	"গ্রন্থিক প্রকাশন"	
"101682"	"টাপুরটুপুর"	
"101683"	"বইবাংলা"	
"101684"	"সাহিত্য ও গবেষণা কেন্দ্র"	
"101685"	"সুন্দরম"	
"101686"	"লালন বিশ্বসংঘ"	
"101687"	"বাঙ্গালীর পাঠশালা"	
"101688"	"বাংলাদেশেইন্ডেক্স.কম.বিডি"	
"101689"	"একাদেমিয়া প্রকাশনী"	
"101690"	"অদ্রি প্রকাশ"	
"101691"	"বোখারী একাডেমী, ঢাকা"	
"101692"	"শব্দভূমি প্রকাশনা"	
"101693"	"আলোক প্রকাশনী"	
"101694"	"রানিয়ার্স রিডার্স"	
"101695"	"বাইতুল কিতাব"	
"101696"	"ছাপাখানার ভূত"	
"100932"	"জীবন প্রকাশন"	
"100933"	"পড়াবাস্তব"	
"100934"	"রেজা পাবলিকেশনস্"	
"100935"	"সবুজপত্র"	
"100936"	"এমদাদ লাইব্রেরী"	
"100937"	"আহমদ প্রকাশন"	
"100938"	"বাংলাদেশ ট্যুরিজম এক্সপানশন ফোরাম"	
"100939"	"একুশ শতক (ভারত)"	
"100940"	"প্রতিভাস (ভারত)"	
"100941"	"পরম্পরা (ভারত)"	
"100942"	"অবভাস (ভারত)"	
"100943"	"পত্রলেখা (ভারত)"	
"100944"	"শিশু সাহিত্য সংসদ"	
"100945"	"জে এন চ্যাটার্জী এন্ড কো. (ভারত)"	
"100946"	"বনিশিল্প"	
"100947"	"করুনা"	
"100948"	"নাথ পাবলিশিং (ভারত)"	
"100949"	"জিরোনা বাংলাদেশ"	
"100950"	"প্রতিভাস"	
"100951"	"এম কিউ মিশন"	
"100952"	"এবিসিএল (আহসানিয়া বুকস ফর ক্রিয়ের্টিভ লানিং)"	
"100953"	"নয়া উদ্যোগ (ভারত)"	
"100954"	"ফ্রেন্ডস্ বুক কর্ণার"	
"100955"	"দারুল ইলম"	
"100956"	"রোদ্দুর প্রকাশনী"	
"100957"	"প্রোটিউন"	
"100958"	"আনন্দমার্গ প্রকাশনী"	
"100959"	"ডক্টর’র প্রকাশন"	
"100960"	"নালন্দালোক"	
"100961"	"দৈনিক দিনকাল"	
"100962"	"কানাবক পাবলিশিং"	
"100963"	"টই টই প্রকাশনা"	
"100964"	"লিখনী পাবলিকেশন"	
"100965"	"নতুনপাতা"	
"100966"	"হুদহুদ প্রকাশন"	
"100967"	"ফেয়ার পাবলিশিং হাউস"	
"100968"	"দশমিক"	
"100969"	"ধানশালিক"	
"100970"	"করুণা প্রকাশনী (ভারত)"	
"100971"	"আদৃতা প্রকাশনী"	
"100972"	"চন্দ্রদীপ"	
"100973"	"সাংবাদিক প্রকাশনী"	
"100974"	"রানা বুক পাবলিশার্স"	
"100975"	"মনন সাহিত্য কেন্দ্র"	
"100976"	"পল্লব পাবলিশার্স"	
"100977"	"নাজমুল আহসান"	
"100978"	"সানন্দা প্রকাশনী"	
"100979"	"শিশুগ্রহ প্রকাশনা"	
"100980"	"এশিয়া পাবলিশিং কোম্পানি"	
"100981"	"ইমাম আহমদ রেযা রিসার্চ একাডেমী"	
"100982"	"প্রকাশ পাবলিকেশন্স"	
"100983"	"রিয়েল পাবলিকেশন্স"	
"100984"	"শব্দশিল্প প্রকাশন"	
"100985"	"সেন্টার ফর এডুকেশন্যাল রিসার্চ এ্যান্ড পাবলিকেশন্স"	
"100986"	"আদিত্য (ভারত)"	
"100987"	"মম্ পাবলিকেশন্স"	
"100988"	"মশিরেখা প্রকাশনী"	
"100989"	"গোল্ডেন বুকস"	
"100990"	"পুনশ্চ (ভারত)"	
"100991"	"ভাষাশৈলী প্রকাশনী"	
"100992"	"ইসলাম পাবলিকেশন্স, ঢাকা"	
"100993"	"রূপসী বাংলা প্রকাশ"	
"100994"	"স্বপ্নিল বেস্ট প্রোফাইল"	
"100995"	"আলিফ বুক হাউজ"	
"100996"	"ইজি পাবলিকেশন্স"	
"100997"	"সমগ্র প্রকাশন"	
"100998"	"শিল্পৈষী"	
"100999"	"কক্সবাজার সাহিত্য একাডেমী"	
"101000"	"আশালতা প্রকাশনী"	
"101001"	"পানগুছি"	
"101002"	"শিশুরাজ্য"	
"101003"	"দেশ পাবলিকেশন’স"	
"101004"	"আলোকায়ন"	
"101005"	"মনীষা"	
"101006"	"বিদ্যানন্দ প্রকাশনী"	
"101007"	"হোপ মাল্টিমিডিয়া"	
"101008"	"বর্ণপ্রকাশ (ফার্মগেট)"	
"101009"	"চর্চা"	
"101010"	"হক লাইব্রেরী"	
"101011"	"নদী প্রকাশ"	
"101012"	"উৎস পাবলিশার্স"	
"101013"	"ড্যাফোডিল ইন্টারন্যাশনাল ইউনিভার্সিটি প্রেস"	
"101014"	"পিনাকল মিডিয়া"	
"101015"	"মেঘ"	
"101016"	"বাঙালি"	
"101017"	"উদাহরণ প্রকাশন"	
"101018"	"তৃতীয় চোখ"	
"101019"	"সহজ প্রাকাশ"	
"101020"	"ঘাসফুল"	
"101021"	"অবসর প্রকাশন"	
"101022"	"আক্ষরিক প্রকাশন"	
"101023"	"শৈব্যা প্রকাশন বিভাগ (ভারত)"	
"101024"	"কবিসংসদ বাংলাদেশ"	
"101025"	"মেধা পাবলিকেশন্স"	
"101026"	"ফুলকি বই কেন্দ্র"	
"101027"	"ঘাস প্রকাশন"	
"101028"	"এশিরিয়া ব্যাবিলন"	
"101029"	"বর্ণচাষ"	
"101030"	"অঙ্গন প্রকাশ"	
"101031"	"ঢাকা প্রকাশন"	
"101032"	"প্রোব পাবলিশার্স"	
"101033"	"ছোটদের বইপত্র"	
"101034"	"হক পাবলিকেশন্স"	
"101035"	"মেঘনাদ"	
"101036"	"সেতুবন্ধন"	
"101037"	"মুক্তগদ্য"	
"101038"	"প্রকাশ ভবন (ভারত)"	
"101039"	"থীমা (ভারত)"	
"101040"	"স্বজন প্রকাশনী"	
"101041"	"ক্রিয়েটিভ মাইন্ডস্‌"	
"101042"	"বুক মার্ট"	
"101043"	"রেখাচিত্র গবেষণা কেন্দ্র"	
"101044"	"নাঈম প্রকাশনী"	
"101045"	"শিবলী প্রকাশনী"	
"101046"	"অভিজাত প্রকাশনী"	
"101047"	"মাকতাবাতুল আযীয"	
"101048"	"নবপ্রকাশ"	
"101049"	"مكتبة الحراء (মাকতাবাতুল হেরা)"	
"101050"	"ইসলামিয়া প্রকাশনী"	
"101051"	"আল-আশরাফ প্রকাশনী"	
"101052"	"মাহমুদিয়া লাইব্রেরী"	
"101053"	"নাদিয়াতুল কুরআন কুতুবখানা"	
"101054"	"মক্কা পাবলিকেশন্স"	
"101055"	"মক্কা প্রকাশন"	
"101056"	"ফ্রেন্ডস বুক সেন্টার"	
"101057"	"মাকতাবাতুল মানসূর"	
"101058"	"রাহমানিয়া পাবলিকেশন্স"	
"101059"	"চিঠি প্রকাশনী"	
"101060"	"দারুল উলূম লাইব্রেরী"	
"101061"	"মৈত্রী প্রকাশন"	
"101062"	"ভূঁইয়া প্রকাশনী"	
"101063"	"পাথেয় পাবলিকেশন্স"	
"101064"	"দারুল বাশির কুতুবখানা"	
"101065"	"সালসাবীল পাবলিকেশন্স"	
"101066"	"কুমিল্লার কাগজ প্রকাশনী"	
"101067"	"সস পাবলিকেশন্স"	
"101068"	"চিলড্রেন বুকস্‌ সেন্টার"	
"101069"	"অলটারনেট বুকস"	
"101070"	"সিএসএস পাবলিকেশন"	
"101071"	"টাইম পাবলিকেশন্স"	
"101072"	"আপন প্রকাশ"	
"101073"	"দারুল কুরআন"	
"101074"	"তাবলীগী একাডেমী"	
"101075"	"ব্রাদার্স পাবলিকেশন্স (বাংলাবাজার)"	
"101076"	"ইদরীসিয়া ওয়েলফেয়ার ট্রাস্ট"	
